Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D80,~,LED_0402_1005Metric,16.82599,118.34099,0.0,top
D81,~,LED_0402_1005Metric,16.82599,116.34099,180.0,top
D82,~,LED_0402_1005Metric,16.82599,6.34099,0.0,top
D83,~,LED_0402_1005Metric,16.82599,4.34099,180.0,top
D84,~,LED_0402_1005Metric,16.82599,10.34099,0.0,top
D85,~,LED_0402_1005Metric,16.82599,8.34099,180.0,top
D86,~,LED_0402_1005Metric,16.82599,22.34099,0.0,top
D87,~,LED_0402_1005Metric,16.82599,20.34099,180.0,top
D88,~,LED_0402_1005Metric,16.82599,42.34099,0.0,top
D89,~,LED_0402_1005Metric,16.82599,40.34099,180.0,top
D9,~,LED_0402_1005Metric,16.82599,74.34099,0.0,top
D90,~,LED_0402_1005Metric,16.82599,150.34099,0.0,top
D91,~,LED_0402_1005Metric,16.82599,148.34099,180.0,top
D93,D_Schottky_Small,D_SOD-323,22.79099,9.19099,-90.0,top
FB1,FerriteBead_Small,R_0402_1005Metric,21.34099,29.84099,90.0,top
FID1,Fiducial_1mm_Mask2mm,Fiducial_1mm_Mask2mm,32.34099,1.34099,0.0,top
FID2,Fiducial_1mm_Mask2mm,Fiducial_1mm_Mask2mm,1.59099,180.09099,0.0,top
FID3,Fiducial_1mm_Mask2mm,Fiducial_1mm_Mask2mm,32.09099,180.09099,0.0,top
J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,28.65118,8.1158,270.0,bottom
J2,Conn_01x08,PinHeader_1x08_P2.54mm_Vertical,31.99099,49.53099,0.0,top
J4,NC,U.FL_Molex_MCRF_73412-0110_Vertical,22.84099,22.59099,180.0,top
J8,Conn_01x02,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,29.59099,25.61599,0.0,bottom
L1,NC,R_0402_1005Metric,24.34099,27.84099,-90.0,top
Q1,BSS84,SOT-23,31.52849,66.49099,0.0,top
R1,220,R_0402_1005Metric,19.84099,147.34099,0.0,top
R10,220,R_0402_1005Metric,13.84099,15.34099,180.0,top
R11,"5,1kΩ",R_0402_1005Metric,22.09099,50.09099,90.0,top
R12,220,R_0402_1005Metric,18.84099,3.85099,90.0,top
R13,"5,1kΩ",R_0402_1005Metric,26.34099,42.34099,90.0,top
R14,220,R_0402_1005Metric,13.84099,7.34099,180.0,top
R15,TBD,R_0402_1005Metric,32.34099,27.84099,-90.0,top
R16,2K,R_0402_1005Metric,29.85099,74.18099,90.0,top
R17,1K,R_0402_1005Metric,25.63099,77.64099,0.0,top
R18,100K,R_0402_1005Metric,31.09099,68.79099,180.0,top
R19,"5,1kΩ",R_0402_1005Metric,28.79099,63.18099,-90.0,top
R2,220,R_0402_1005Metric,19.84099,115.34099,180.0,top
R3,220,R_0402_1005Metric,18.84099,39.84099,90.0,top
R4,220,R_0402_1005Metric,13.84099,63.59099,0.0,top
R5,"5,1kΩ",R_0402_1005Metric,28.58618,6.6058,-90.0,top
R6,"5,1kΩ",R_0402_1005Metric,29.58618,6.5958,-90.0,top
R7,220,R_0402_1005Metric,18.84099,19.84099,90.0,top
R8,220,R_0402_1005Metric,13.84099,35.34099,0.0,top
R9,220,R_0402_1005Metric,18.84099,7.84099,90.0,top
RV1,Varistor,R_0402_1005Metric,24.29099,9.21349,-90.0,top
SW1,SW_MEC_5G,SW_PUSH_6mm,24.29099,56.29099,90.0,top
SW3,SW_MEC_5G,SW_PUSH_6mm,24.29099,65.89099,-90.0,top
U1,ESP32-C3,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,26.15349,33.34099,90.0,top
U2,RT9080,SOT-23-5,23.29099,13.45349,90.0,top
U3,TC1047AxNB,SOT-23,30.89099,18.39099,90.0,top
U4,MCP73831,SOT-23-5,26.23849,74.63099,0.0,top
Y1,Crystal,Crystal_SMD_2016-4Pin_2.0x1.6mm,20.34099,32.84099,0.0,top
